"Sex";"Age";"Modes of travel";"Travel motives";"Margins";"Periods";"Stages per person per day (average) (number)";"Distance travelled per stage (average) (passenger kilometres)";"Average travel time per stage (Minutes)"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.82";"   12.21";"   21.99"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.79";"   12.23";"   21.87"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.79";"   12.15";"   21.95"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.80";"   12.23";"   22.15"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.82";"   12.17";"   21.89"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.77";"   12.04";"   21.81"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.55";"   10.97";"   20.55"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.54";"   11.43";"   21.21"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.62";"   11.79";"   21.82"
"Total male and female";"18 to 24 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.66";"   11.93";"   22.23"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.49";"    5.60";"   14.64"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.47";"    5.66";"   14.82"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.46";"    5.55";"   14.48"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.45";"    5.67";"   14.60"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.45";"    5.64";"   14.55"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.43";"    5.76";"   14.62"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.45";"    4.46";"   12.80"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.46";"    4.53";"   13.37"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.47";"    4.93";"   13.77"
"Total male and female";"18 to 24 years";"Total";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.46";"    5.28";"   14.28"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2014*";"    0.73";"   12.03";"   22.52"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2015*";"    0.75";"   11.99";"   22.39"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2016*";"    0.75";"   11.81";"   22.37"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2017*";"    0.74";"   11.82";"   22.50"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2018*";"    0.75";"   11.83";"   22.35"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2019*";"    0.76";"   11.67";"   22.16"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2020*";"    0.39";"   11.89";"   22.87"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2021*";"    0.42";"   11.56";"   22.88"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2022*";"    0.55";"   11.46";"   23.02"
"Total male and female";"18 to 24 years";"Total";"Attending education/courses";"Value";"2023*";"    0.62";"   11.47";"   23.15"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2014*";"    1.27";"   13.04";"   29.01"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2015*";"    1.22";"   13.12";"   29.07"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2016*";"    1.20";"   13.14";"   28.98"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2017*";"    1.16";"   13.23";"   28.81"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2018*";"    1.19";"   13.22";"   28.86"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2019*";"    1.16";"   13.32";"   28.76"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2020*";"    0.97";"   11.30";"   31.63"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2021*";"    1.07";"   11.83";"   33.83"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2022*";"    1.17";"   11.76";"   30.71"
"Total male and female";"18 to 24 years";"Total";"Leisure";"Value";"2023*";"    1.19";"   12.15";"   29.76"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2014*";"    0.36";"   12.93";"   21.58"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2015*";"    0.33";"   13.41";"   21.85"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2016*";"    0.31";"   13.49";"   21.89"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2017*";"    0.31";"   13.60";"   21.94"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2018*";"    0.33";"   13.24";"   21.59"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2019*";"    0.32";"   13.60";"   21.94"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2020*";"    0.30";"   11.90";"   19.97"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2021*";"    0.32";"   11.90";"   20.55"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2022*";"    0.32";"   11.73";"   20.73"
"Total male and female";"18 to 24 years";"Total";"Other";"Value";"2023*";"    0.31";"   12.24";"   21.10"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.24";"   20.46";"   27.40"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.24";"   20.59";"   27.39"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.23";"   20.58";"   27.49"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.24";"   20.72";"   27.64"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.24";"   20.92";"   27.60"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.22";"   20.96";"   27.62"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.19";"   18.69";"   25.05"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.19";"   19.36";"   25.72"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.20";"   20.33";"   27.09"
"Total male and female";"18 to 24 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.20";"   20.59";"   27.84"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.11";"    8.39";"   15.62"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.10";"    8.40";"   15.70"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.10";"    8.41";"   15.64"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.09";"    8.73";"   15.79"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.09";"    8.78";"   15.87"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.09";"    8.93";"   15.91"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.10";"    7.42";"   13.81"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.10";"    7.75";"   14.41"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.09";"    8.24";"   15.00"
"Total male and female";"18 to 24 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.09";"    8.59";"   15.48"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2014*";"    0.05";"   25.40";"   35.06"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2015*";"    0.05";"   25.28";"   35.14"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2016*";"    0.05";"   25.57";"   35.46"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2017*";"    0.05";"   26.04";"   35.82"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2018*";"    0.05";"   25.90";"   35.87"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2019*";"    0.05";"   26.21";"   36.10"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2020*";"    0.04";"   24.84";"   34.79"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2021*";"    0.04";"   25.63";"   34.87"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2022*";"    0.05";"   26.00";"   35.98"
"Total male and female";"18 to 24 years";"Car as driver";"Attending education/courses";"Value";"2023*";"    0.05";"   26.24";"   36.70"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2014*";"    0.27";"   18.98";"   28.04"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2015*";"    0.25";"   19.12";"   28.11"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2016*";"    0.25";"   19.07";"   28.07"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2017*";"    0.25";"   19.13";"   28.03"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2018*";"    0.25";"   19.68";"   28.24"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2019*";"    0.24";"   19.69";"   28.29"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2020*";"    0.19";"   18.60";"   28.78"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2021*";"    0.20";"   19.95";"   30.61"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2022*";"    0.21";"   19.14";"   28.97"
"Total male and female";"18 to 24 years";"Car as driver";"Leisure";"Value";"2023*";"    0.22";"   18.90";"   28.23"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2014*";"    0.11";"   15.98";"   22.29"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2015*";"    0.11";"   16.19";"   22.36"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2016*";"    0.10";"   16.23";"   22.40"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2017*";"    0.10";"   16.37";"   22.48"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2018*";"    0.11";"   16.31";"   22.44"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2019*";"    0.11";"   16.69";"   22.72"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2020*";"    0.11";"   14.93";"   20.51"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2021*";"    0.11";"   15.14";"   21.09"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2022*";"    0.10";"   15.12";"   21.59"
"Total male and female";"18 to 24 years";"Car as driver";"Other";"Value";"2023*";"    0.10";"   15.49";"   21.91"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.04";"   18.92";"   28.18"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.04";"   18.95";"   28.05"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.04";"   18.62";"   28.03"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.04";"   18.65";"   27.98"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.04";"   18.65";"   27.81"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.03";"   18.42";"   27.63"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.03";"   14.91";"   24.27"
