"Total transport performance in the Netherlands; modes of travel and regions"
"Population: Population 6 years or older"
"Margins: Value"
""
"Topic";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance";"Transport performance"
"Modes of travel";"Total";"Total";"Total";"Total";"Total";"Total";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (driver)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Passenger car (passenger)";"Train";"Train";"Train";"Train";"Train";"Train";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Bike";"Bike";"Bike";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Walking";"Walking";"Walking";"Other";"Other";"Other";"Other";"Other";"Other"
"Periods";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023"
"Region characteristics";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres ";"billion passenger kilometres "
"The Netherlands";"218.1";"218.8";"152.0";"168.4";"186.9";"199.3";"108.8";"108.5";"79.4";"85.6";"92.9";"99.6";"38.7";"39.0";"25.8";"30.2";"32.7";"36.5";"22.8";"24.1";"9.6";"10.2";"15.8";"20.0";"6.5";"6.5";"2.9";"3.5";"5.0";"5.1";"18.5";"17.8";"15.5";"16.1";"18.4";"17.8";"5.2";"5.2";"6.6";"8.2";"7.2";"6.9";"17.6";"17.9";"12.1";"14.7";"15.0";"13.4"
"Noord-Nederland (LD)";"25.0";"25.1";"17.1";"19.4";"21.6";"22.0";"12.5";"12.5";"9.2";"9.8";"11.0";"11.5";"4.8";"5.3";"3.0";"3.7";"3.8";"3.9";"2.1";"2.0";"0.8";"1.1";"1.6";"1.8";"0.7";"0.6";"0.3";"0.4";"0.6";"0.5";"1.9";"1.8";"1.6";"1.7";"1.9";"1.8";"0.4";"0.5";"0.6";"0.7";"0.7";"0.7";"2.5";"2.3";"1.5";"1.8";"2.0";"1.9"
"Oost-Nederland (LD)";"49.3";"49.8";"35.1";"38.7";"43.1";"45.6";"25.9";"25.5";"18.9";"20.2";"21.8";"23.4";"8.8";"8.4";"5.7";"6.9";"7.7";"8.8";"4.7";"5.4";"2.3";"2.1";"3.9";"4.3";"0.8";"0.8";"0.4";"0.4";"0.7";"0.6";"4.0";"4.0";"3.4";"3.6";"4.1";"3.9";"1.0";"1.0";"1.3";"1.6";"1.5";"1.4";"4.2";"4.7";"3.0";"4.0";"3.5";"3.3"
"West-Nederland (LD)";"98.7";"99.6";"68.4";"76.1";"82.8";"89.4";"47.4";"47.0";"33.8";"36.5";"39.3";"42.2";"17.0";"17.3";"11.8";"14.1";"14.6";"16.1";"11.7";"12.3";"4.8";"5.4";"7.5";"10.1";"4.2";"4.3";"1.9";"2.3";"3.2";"3.4";"8.9";"8.4";"7.5";"7.7";"8.7";"8.5";"2.6";"2.6";"3.2";"4.0";"3.6";"3.4";"6.8";"7.6";"5.3";"6.1";"6.1";"5.7"
"Zuid-Nederland (LD)";"45.1";"44.4";"31.6";"34.1";"39.4";"42.3";"23.0";"23.5";"17.4";"19.1";"20.8";"22.5";"8.1";"8.0";"5.3";"5.4";"6.7";"7.8";"4.2";"4.3";"1.7";"1.6";"2.8";"4.0";"0.8";"0.7";"0.4";"0.3";"0.7";"0.6";"3.7";"3.5";"3.0";"3.0";"3.7";"3.5";"1.1";"1.1";"1.5";"1.8";"1.5";"1.5";"4.1";"3.4";"2.3";"2.8";"3.3";"2.5"
"Groningen (PV)";"7.8";"8.1";"5.5";"6.3";"7.0";"6.7";"3.4";"3.8";"2.8";"3.1";"3.4";"3.0";"1.6";"1.6";"0.9";"1.2";"1.3";"1.2";"0.9";"1.1";".";"0.6";"0.7";"0.9";"0.2";"0.2";".";".";"0.2";"0.2";"0.7";"0.7";"0.6";"0.5";"0.7";"0.7";"0.1";"0.2";"0.2";"0.3";"0.2";"0.2";"0.8";"0.5";"0.4";"0.5";"0.6";"."
"Fryslân (PV)";"9.6";"10.0";"6.8";"7.5";"8.5";"8.5";"4.9";"5.2";"4.0";"4.0";"4.5";"4.7";"1.9";"2.3";"1.0";"1.5";"1.5";"1.5";"0.6";".";".";".";".";".";"0.3";"0.2";".";".";".";".";"0.7";"0.6";"0.6";"0.7";"0.7";"0.6";"0.2";"0.2";"0.2";"0.3";"0.3";"0.2";"1.1";"1.0";"0.7";"0.6";"0.8";"0.8"
