"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"";"";"Topic";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage"
"Periods";"Age";"Travel motives";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes"
"2014*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.82";"12.21";"21.99";"0.24";"20.46";"27.40";"0.04";"18.92";"28.18";"0.05";"37.62";"40.14";"0.08";"9.40";"25.02";"0.23";"3.28";"16.31";"0.12";"0.73";"9.05";".";".";"."
"2014*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"1.07";"16.66";"25.23";"0.42";"25.90";"31.56";".";".";".";"0.08";"41.54";"41.66";"0.08";"8.96";"24.10";"0.25";"3.66";"17.52";"0.15";"0.78";"9.45";".";".";"."
"2014*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.93";"17.66";"26.19";"0.43";"25.29";"31.18";"0.03";"24.79";"32.75";"0.05";"41.73";"42.13";"0.06";"8.95";"24.27";"0.21";"4.00";"18.37";"0.10";"0.82";"9.70";"0.06";"23.00";"30.75"
"2014*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.90";"17.18";"25.89";"0.43";"24.35";"30.40";"0.02";"22.34";"30.70";"0.04";"41.88";"42.55";"0.04";"9.44";"24.83";"0.22";"4.24";"18.59";"0.08";"0.87";"9.98";"0.06";"23.43";"30.54"
"2014*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.84";"16.48";"25.67";"0.38";"23.82";"30.11";"0.02";"21.66";"28.76";"0.03";"42.33";"44.35";"0.04";"9.86";"25.61";"0.22";"4.40";"18.97";"0.08";"0.89";"10.02";"0.06";"23.33";"31.61"
"2014*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.53";"15.48";"24.84";"0.22";"23.45";"29.58";".";".";".";".";".";".";".";".";".";"0.15";"4.10";"18.44";"0.05";"0.86";"10.03";".";".";"."
"2014*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.21";"13.10";"22.85";"0.09";"20.20";"26.99";".";".";".";".";".";".";".";".";".";"0.07";"3.40";"16.84";".";".";".";".";".";"."
"2015*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.79";"12.23";"21.87";"0.24";"20.59";"27.39";"0.04";"18.95";"28.05";".";".";".";"0.08";"9.12";"24.93";"0.22";"3.29";"16.29";"0.12";"0.70";"8.69";".";".";"."
"2015*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"1.06";"16.76";"25.12";"0.41";"26.10";"31.56";".";".";".";"0.08";"41.50";"41.61";"0.09";"8.69";"24.00";"0.24";"3.68";"17.51";"0.15";"0.74";"9.07";".";".";"."
"2015*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.93";"17.77";"26.06";"0.43";"25.55";"31.19";"0.03";"24.93";"32.53";"0.05";"41.67";"42.06";"0.06";"8.68";"24.17";"0.20";"4.03";"18.38";"0.11";"0.78";"9.30";"0.05";"23.18";"29.91"
"2015*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.88";"17.41";"25.84";"0.43";"24.61";"30.38";"0.02";"22.66";"30.61";"0.04";"41.81";"42.45";"0.04";"9.16";"24.74";"0.21";"4.27";"18.62";"0.08";"0.83";"9.58";"0.06";"23.70";"29.76"
"2015*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.83";"16.68";"25.60";"0.38";"24.10";"30.10";"0.02";"21.95";"28.69";"0.03";"42.27";"44.27";"0.04";"9.57";"25.51";"0.22";"4.45";"19.00";"0.08";"0.85";"9.58";"0.06";"23.56";"30.76"
"2015*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.55";"15.77";"24.81";"0.23";"23.75";"29.57";".";".";".";".";".";".";".";".";".";"0.15";"4.15";"18.47";"0.05";"0.83";"9.58";".";".";"."
"2015*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.21";"13.21";"22.74";"0.09";"20.42";"27.01";".";".";".";".";".";".";".";".";".";"0.07";"3.44";"16.86";".";".";".";".";".";"."
"2016*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.79";"12.15";"21.95";"0.23";"20.58";"27.49";"0.04";"18.62";"28.03";"0.05";"37.72";"40.20";"0.08";"9.10";"24.87";"0.22";"3.29";"16.31";"0.12";"0.70";"9.04";".";".";"."
"2016*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"1.06";"16.70";"25.22";"0.41";"26.13";"31.69";".";".";".";"0.08";"41.68";"41.70";"0.09";"8.68";"23.91";"0.24";"3.69";"17.55";"0.15";"0.74";"9.44";".";".";"."
